Country,Change in CO₂ Emissions (Mt)
United States,-338.118
Japan,-238.78404
United Kingdom,-140.70357
Germany,-138.93952
Ukraine,-102.11851
Saudi Arabia,105.5544
Iran,160.5139
Vietnam,181.64064
India,747.0894
China,1693.088
